household_id,region,residence,household_size,internet_access
171,South,Rural,1,No
172,West,Rural,7,No
173,West,Rural,2,Yes
174,West,Rural,3,No
175,North,Urban,5,No
176,East,Rural,6,No
177,East,Rural,3,Yes
178,West,Urban,3,Yes
179,West,Rural,3,No
180,South,Urban,3,No
181,West,Urban,7,Yes
182,North,Urban,6,Yes
183,East,Rural,5,Yes
184,North,Rural,7,Yes
185,East,Urban,3,Yes
186,South,Rural,4,No
187,South,Urban,4,Yes
188,North,Urban,1,Yes
189,East,Rural,4,Yes
190,South,Urban,6,No
191,West,Urban,3,No
192,North,Rural,6,Yes
193,East,Urban,3,Yes
194,West,Urban,7,No
195,West,Urban,5,Yes
196,East,Urban,2,Yes
197,East,Urban,7,No
198,West,Urban,8,Yes
199,North,Rural,5,No
200,West,Rural,5,No
201,South,Urban,4,No
202,South,Urban,2,No
203,West,Urban,6,Yes
204,North,Rural,5,Yes
205,West,Rural,7,No
206,West,Urban,5,Yes
207,South,Rural,5,Yes
208,East,Urban,7,No
209,West,Urban,6,Yes
210,West,Rural,2,No
211,West,Rural,3,No
212,East,Urban,7,No
213,North,Rural,4,Yes
214,West,Rural,5,No
215,West,Rural,4,Yes
216,West,Rural,6,No
217,South,Rural,5,Yes
218,North,Urban,3,No
219,South,Urban,6,No
220,East,Rural,4,No
221,West,Rural,5,No
222,East,Urban,4,Yes
223,North,Urban,3,Yes
224,East,Rural,3,No
225,West,Urban,3,Yes
226,South,Rural,4,No
227,North,Rural,5,No
228,North,Rural,4,No
229,South,Urban,8,No
230,East,Rural,4,Yes
231,North,Urban,3,Yes
232,South,Urban,5,No
233,South,Rural,4,Yes
234,North,Urban,9,No
235,West,Rural,6,Yes
236,West,Rural,4,No
237,West,Urban,4,Yes
238,South,Rural,1,Yes
239,West,Rural,5,Yes
240,North,Urban,4,Yes
241,North,Rural,5,Yes
242,South,Urban,7,Yes
243,North,Rural,3,No
244,West,Urban,2,Yes
245,East,Urban,7,No
246,North,Urban,3,No
247,North,Rural,7,Yes
248,West,Urban,1,Yes
249,West,Rural,7,No
250,South,Rural,7,Yes
251,North,Urban,8,No
252,West,Urban,4,No
253,South,Rural,4,Yes
254,North,Urban,8,Yes
255,North,Rural,4,Yes
256,North,Rural,8,Yes
257,East,Urban,5,Yes
258,East,Rural,5,Yes
259,South,Rural,6,Yes
260,North,Urban,4,Yes
261,West,Urban,4,Yes
262,South,Urban,4,Yes
263,West,Rural,4,No
264,East,Rural,6,Yes
265,South,Urban,4,Yes
266,East,Rural,7,Yes
267,South,Rural,8,Yes
268,East,Urban,5,Yes
269,North,Rural,0,Yes
270,North,Rural,9,Yes
271,North,Rural,4,Yes
272,North,Rural,7,Yes
273,East,Rural,5,Yes
274,South,Rural,5,No
275,North,Urban,3,Yes
276,South,Urban,2,Yes
277,North,Urban,6,Yes
278,East,Rural,4,Yes
279,East,Rural,1,Yes
280,North,Rural,2,No
281,West,Rural,7,Yes
282,South,Urban,6,No
283,East,Rural,2,Yes
284,North,Rural,6,Yes
285,East,Rural,1,No
286,South,Rural,5,Yes
287,West,Rural,3,Yes
288,West,Rural,6,Yes
289,North,Urban,5,Yes
290,West,Rural,5,Yes
291,North,Rural,3,No
292,North,Urban,4,Yes
293,North,Rural,4,No
294,North,Rural,3,No
295,East,Urban,6,Yes
296,South,Rural,1,Yes
297,South,Rural,3,Yes
298,South,Urban,5,Yes
299,East,Urban,5,No
300,North,Urban,5,No
301,South,Rural,6,Yes
302,South,Urban,16,Yes
303,North,Rural,9,Yes
304,South,Urban,9,Yes
305,North,Urban,6,Yes
306,North,Rural,6,Yes
307,South,Urban,9,Yes
308,East,Urban,3,Yes
309,North,Urban,6,Yes
310,East,Rural,2,Yes
311,West,Rural,5,Yes
312,North,Rural,6,Yes
313,South,Rural,1,No
314,North,Urban,3,No
315,West,Urban,2,Yes
316,South,Urban,7,No
317,South,Rural,4,Yes
318,South,Urban,6,Yes
319,East,Rural,6,No
320,North,Urban,3,Yes
321,North,Urban,4,No
322,West,Rural,4,No
323,North,Rural,6,Yes
324,North,Urban,5,No
325,West,Rural,3,No
326,East,Rural,4,No
327,North,Rural,4,Yes
328,South,Rural,5,No
329,North,Rural,5,Yes
330,South,Urban,4,Yes
331,West,Rural,4,Yes
332,South,Rural,8,No
333,North,Urban,5,Yes
334,North,Urban,5,Yes
335,North,Urban,3,Yes
336,North,Rural,4,Yes
337,West,Rural,6,No
338,East,Urban,4,No
339,North,Urban,5,Yes
340,North,Urban,3,Yes
341,North,Urban,5,Yes
342,South,Rural,8,No
343,South,Urban,1,Yes
344,East,Urban,4,Yes
345,South,Rural,3,Yes
346,East,Rural,5,Yes
347,North,Urban,2,No
348,North,Rural,6,No
349,West,Rural,2,Yes
350,North,Rural,4,Yes
351,North,Urban,4,Yes
352,North,Urban,5,No
353,West,Rural,4,Yes
354,East,Urban,11,No
355,North,Rural,5,No
356,West,Rural,4,Yes
357,North,Rural,7,No
358,East,Rural,4,No
359,East,Rural,6,No
360,West,Rural,8,Yes
361,South,Rural,7,No
362,North,Urban,2,No
363,North,Rural,4,No
364,North,Urban,5,No
365,South,Rural,4,No
366,North,Rural,7,Yes
367,South,Rural,7,Yes
368,North,Urban,6,Yes
369,West,Urban,5,Yes
370,North,Urban,7,Yes
371,East,Urban,2,No
372,East,Rural,3,Yes
373,South,Rural,3,Yes
374,South,Rural,7,No
375,North,Rural,7,Yes
376,East,Rural,7,Yes
377,West,Urban,4,No
378,North,Rural,1,Yes
379,North,Rural,6,Yes
380,South,Urban,6,Yes
381,North,Rural,5,Yes
382,South,Rural,4,No
383,South,Urban,4,Yes
384,South,Rural,4,Yes
385,South,Urban,4,No
386,West,Rural,5,Yes
387,West,Urban,6,No
388,West,Urban,4,No
389,West,Rural,5,Yes
390,East,Urban,6,Yes
391,West,Urban,8,Yes
392,East,Rural,9,Yes
393,East,Rural,4,No
394,East,Rural,6,Yes
395,North,Urban,3,Yes
396,East,Urban,2,Yes
397,East,Rural,5,Yes
398,East,Rural,7,No
399,West,Urban,6,Yes
400,South,Urban,5,Yes
401,East,Urban,11,Yes
402,East,Urban,12,Yes
403,East,Rural,4,Yes
404,North,Urban,3,No
405,North,Urban,4,Yes
406,East,Rural,5,Yes
407,South,Rural,7,No
408,East,Urban,6,Yes
409,South,Urban,8,Yes
410,North,Rural,6,Yes
411,West,Urban,3,No
412,South,Urban,4,Yes
413,South,Rural,6,Yes
414,South,Rural,3,Yes
415,West,Urban,4,No
416,North,Rural,8,No
417,West,Rural,3,Yes
418,North,Rural,3,Yes
419,North,Urban,6,No
420,East,Rural,5,No
421,East,Urban,5,No
422,North,Urban,6,No
423,North,Rural,6,No
424,East,Rural,6,Yes
425,North,Urban,4,No
426,East,Rural,10,Yes
427,West,Rural,9,No
428,South,Urban,1,No
429,North,Rural,6,No
430,North,Urban,4,Yes
431,East,Urban,4,No
432,West,Rural,1,Yes
433,South,Rural,6,No
434,East,Urban,3,No
435,South,Rural,2,No
436,North,Rural,6,No
437,South,Rural,5,No
438,East,Urban,1,Yes
439,South,Rural,8,No
440,East,Urban,7,Yes
441,East,Urban,4,No
442,North,Rural,3,Yes
443,South,Rural,7,No
444,West,Rural,6,No
445,North,Rural,4,Yes
446,South,Urban,3,No
447,South,Rural,1,Yes
448,West,Rural,4,No
449,South,Rural,3,Yes
450,West,Urban,5,No
451,South,Urban,5,Yes
452,North,Rural,4,Yes
453,West,Rural,8,No
454,South,Urban,6,No
455,West,Urban,4,Yes
456,North,Urban,6,No
457,West,Urban,5,Yes
458,South,Rural,4,No
459,North,Urban,3,No
460,West,Rural,1,Yes
461,West,Rural,3,Yes
462,East,Urban,5,Yes
463,South,Urban,3,No
464,North,Rural,2,No
465,East,Rural,8,Yes
466,South,Rural,8,No
467,West,Rural,7,Yes
468,East,Rural,5,No
469,South,Rural,6,Yes
470,East,Rural,7,Yes
471,East,Rural,8,Yes
472,North,Rural,6,Yes
473,West,Rural,4,Yes
474,South,Urban,5,No
475,East,Rural,7,Yes
476,North,Rural,4,Yes
477,North,Urban,5,No
478,East,Rural,4,No
479,South,Urban,3,Yes
480,East,Rural,4,No
481,South,Rural,3,Yes
482,South,Rural,3,Yes
483,South,Urban,5,Yes
484,West,Rural,8,Yes
485,North,Urban,5,No
486,West,Rural,3,No
487,South,Rural,4,Yes
488,North,Urban,5,No
489,West,Rural,3,Yes
490,West,Urban,6,No
491,North,Urban,1,No
492,West,Rural,1,No
493,North,Urban,6,No
494,West,Urban,3,Yes
495,South,Urban,4,No
496,South,Urban,3,No
497,West,Urban,6,Yes
498,East,Rural,5,Yes
499,East,Urban,2,No
500,North,Rural,4,Yes
501,South,Urban,2,No
502,West,Urban,4,No
503,West,Urban,5,Yes
504,South,Rural,6,Yes
505,East,Urban,2,No
506,East,Rural,4,Yes
507,East,Urban,1,No
508,East,Urban,4,No
509,South,Urban,7,Yes
510,North,Rural,6,Yes
511,West,Rural,7,No
512,North,Rural,2,No
513,West,Rural,3,No
514,East,Rural,6,Yes
515,West,Urban,4,No
516,West,Urban,3,Yes
517,West,Rural,3,Yes
518,North,Urban,3,No
519,South,Rural,6,Yes
520,South,Rural,5,Yes
521,West,Urban,5,Yes
522,West,Urban,8,No
523,East,Urban,3,No
524,South,Rural,6,Yes
525,North,Rural,3,No
526,West,Urban,3,Yes
527,East,Rural,3,Yes
528,North,Rural,8,No
529,North,Rural,6,Yes
530,East,Urban,5,No
531,West,Urban,6,Yes
532,West,Rural,6,Yes
533,South,Urban,6,No
534,North,Rural,8,No
535,North,Urban,3,Yes
536,South,Rural,4,No
537,South,Rural,1,Yes
538,South,Urban,3,No
539,South,Urban,6,Yes
540,North,Urban,6,Yes
541,East,Urban,4,Yes
542,East,Rural,4,No
543,South,Urban,5,Yes
544,West,Urban,1,No
545,West,Urban,7,Yes
546,East,Urban,6,Yes
547,East,Rural,3,Yes
548,West,Urban,5,Yes
549,West,Rural,8,Yes
550,East,Rural,3,No
551,South,Urban,4,Yes
552,East,Rural,7,No
553,West,Rural,3,No
554,West,Rural,2,No
555,West,Urban,4,Yes
556,East,Urban,3,No
557,South,Rural,6,Yes
558,West,Rural,6,Yes
559,South,Rural,4,Yes
560,West,Rural,3,Yes
561,East,Rural,3,Yes
562,South,Urban,4,Yes
563,West,Rural,4,Yes
564,East,Rural,2,Yes
565,West,Rural,0,Yes
566,South,Urban,8,Yes
567,West,Rural,4,Yes
568,West,Rural,9,No
569,South,Rural,6,Yes
570,North,Urban,7,No
571,South,Rural,4,No
572,East,Rural,8,No
573,West,Rural,6,No
574,North,Rural,4,No
575,North,Rural,6,No
576,West,Rural,8,Yes
577,East,Rural,6,No
578,West,Rural,6,No
579,South,Rural,6,Yes
580,North,Urban,2,No
581,North,Urban,2,Yes
582,West,Rural,4,Yes
583,East,Urban,5,Yes
584,East,Rural,9,No
585,West,Rural,9,Yes
586,East,Urban,6,Yes
587,North,Urban,4,No
588,South,Urban,5,Yes
589,South,Rural,6,No
590,East,Rural,7,No
591,East,Rural,5,No
592,West,Urban,2,Yes
593,East,Urban,6,Yes
594,West,Rural,7,Yes
595,East,Rural,4,Yes
596,South,Urban,3,No
597,North,Rural,3,No
598,East,Urban,1,Yes
599,West,Urban,5,Yes
600,West,Rural,5,Yes
601,West,Rural,5,Yes
602,South,Urban,8,No
603,West,Rural,4,No
604,North,Urban,3,Yes
605,East,Rural,5,No
606,East,Rural,2,No
607,East,Urban,6,Yes
608,South,Rural,6,No
609,North,Urban,3,Yes
610,South,Rural,3,No
611,East,Urban,8,Yes
612,North,Rural,4,Yes
613,South,Rural,10,No
614,North,Rural,6,No
615,South,Rural,8,No
616,South,Urban,6,Yes
617,West,Rural,4,No
618,East,Urban,4,No
619,South,Rural,1,No
620,South,Urban,8,No
621,South,Urban,5,Yes
622,South,Rural,4,No
623,South,Rural,7,Yes
624,West,Urban,7,Yes
625,West,Urban,7,Yes
626,East,Rural,5,Yes
627,North,Rural,2,No
628,North,Rural,8,Yes
629,East,Rural,3,Yes
630,East,Rural,7,Yes
631,East,Urban,5,No
632,West,Urban,5,Yes
633,East,Rural,6,Yes
634,South,Rural,4,Yes
635,North,Rural,7,Yes
636,North,Rural,7,No
637,East,Urban,7,No
638,South,Urban,4,No
639,West,Urban,3,No
640,West,Rural,6,No
641,South,Rural,2,Yes
642,West,Urban,2,No
643,East,Rural,1,Yes
644,West,Rural,6,Yes
645,West,Urban,6,Yes
646,North,Urban,3,Yes
647,East,Urban,7,No
648,West,Rural,7,No
649,East,Urban,6,Yes
650,West,Rural,9,No
651,North,Urban,3,No
652,North,Urban,2,No
653,East,Urban,9,No
654,East,Rural,7,No
655,West,Rural,4,Yes
656,South,Urban,4,No
657,South,Rural,9,No
658,West,Urban,2,No
659,East,Rural,6,Yes
660,South,Urban,5,No
661,East,Rural,8,No
662,East,Rural,6,Yes
663,South,Urban,6,Yes
664,East,Rural,3,Yes
665,East,Rural,5,No
666,North,Urban,4,Yes
667,East,Rural,3,No
668,North,Rural,7,Yes
669,South,Rural,4,No
670,West,Rural,6,Yes
671,West,Rural,5,Yes
672,North,Rural,5,Yes
673,East,Urban,5,No
674,East,Rural,2,Yes
675,South,Rural,5,Yes
676,West,Rural,3,No
677,West,Rural,4,No
678,South,Urban,6,No
679,North,Rural,5,Yes
680,South,Rural,4,Yes
681,East,Rural,4,Yes
682,East,Rural,1,Yes
683,East,Urban,4,No
684,South,Urban,6,No
685,North,Rural,2,No
686,South,Urban,10,Yes
687,West,Rural,7,No
688,East,Urban,8,No
689,South,Rural,5,No
690,East,Urban,4,Yes
691,West,Rural,5,No
692,East,Rural,2,Yes
693,North,Rural,3,No
694,South,Urban,4,No
695,South,Urban,4,Yes
696,South,Urban,6,No
697,West,Rural,3,No
698,West,Urban,5,Yes
699,South,Urban,3,No
700,West,Urban,5,No
701,South,Rural,1,No
702,North,Urban,7,No
703,North,Rural,7,No
704,East,Urban,3,Yes
705,West,Rural,5,No
706,North,Urban,5,No
707,East,Urban,3,Yes
708,East,Urban,6,No
709,South,Urban,8,Yes
710,West,Rural,9,Yes
711,East,Urban,6,Yes
712,South,Rural,0,No
713,North,Rural,7,Yes
714,West,Rural,4,No
715,North,Rural,4,Yes
716,West,Urban,0,No
717,West,Rural,4,Yes
718,South,Rural,4,Yes
719,North,Urban,5,Yes
720,East,Urban,7,No
721,South,Urban,6,Yes
722,West,Rural,4,Yes
723,West,Rural,7,Yes
724,West,Urban,4,No
725,South,Urban,9,No
726,East,Urban,7,No
727,North,Urban,4,No
728,West,Rural,3,No
729,North,Rural,3,Yes
730,South,Rural,8,Yes
731,East,Rural,5,No
732,North,Urban,8,Yes
733,North,Urban,13,Yes
734,East,Rural,5,Yes
735,East,Urban,4,No
736,South,Rural,6,No
737,West,Urban,8,No
738,North,Urban,10,Yes
739,West,Urban,4,Yes
740,East,Urban,6,Yes
741,East,Rural,4,No
742,East,Rural,5,Yes
743,West,Rural,3,Yes
744,North,Rural,6,Yes
745,East,Urban,4,Yes
746,East,Urban,6,Yes
747,North,Rural,9,No
748,South,Rural,2,Yes
749,North,Rural,6,Yes
750,South,Rural,6,Yes
751,West,Urban,6,Yes
752,South,Rural,8,Yes
753,North,Rural,7,No
754,East,Urban,8,Yes
755,North,Rural,10,No
756,South,Rural,5,Yes
757,South,Rural,7,No
758,North,Urban,5,Yes
759,South,Urban,2,No
760,North,Rural,5,Yes
761,West,Urban,3,No
762,North,Rural,5,Yes
763,West,Urban,2,Yes
764,South,Rural,6,Yes
765,South,Urban,0,No
766,West,Rural,2,No
767,South,Urban,8,Yes
768,West,Rural,10,Yes
769,South,Urban,4,Yes
770,West,Urban,6,Yes
771,East,Rural,6,No
772,North,Rural,5,No
773,West,Rural,8,No
774,North,Rural,7,Yes
775,North,Rural,4,No
776,West,Urban,2,No
777,North,Urban,5,Yes
778,East,Rural,4,No
779,West,Rural,6,No
780,South,Rural,6,No
781,North,Rural,5,Yes
782,North,Urban,5,No
783,East,Rural,3,Yes
784,East,Urban,5,No
785,North,Urban,7,No
786,North,Urban,3,Yes
787,West,Urban,6,No
788,South,Rural,7,No
789,West,Urban,4,Yes
790,West,Urban,4,Yes
791,East,Rural,2,Yes
792,West,Rural,5,Yes
793,North,Urban,6,Yes
794,West,Rural,5,No
795,North,Urban,8,No
796,East,Rural,1,No
797,North,Urban,8,No
798,West,Urban,5,Yes
799,South,Rural,7,Yes
800,South,Urban,4,No
801,East,Rural,4,Yes
802,North,Urban,4,Yes
803,West,Rural,4,No
804,West,Rural,2,No
805,East,Urban,4,Yes
806,North,Urban,4,No
807,East,Rural,4,Yes
808,East,Urban,1,Yes
809,North,Urban,6,No
810,East,Urban,5,No
811,East,Urban,5,Yes
812,East,Rural,2,Yes
813,East,Urban,1,Yes
814,East,Urban,3,Yes
815,South,Urban,1,Yes
816,East,Rural,9,Yes
817,South,Rural,5,Yes
818,East,Urban,7,No
819,West,Rural,5,No
820,South,Urban,2,Yes
821,North,Rural,1,No
822,West,Rural,4,Yes
823,West,Urban,3,No
824,North,Urban,7,No
825,East,Rural,5,No
826,West,Rural,5,Yes
827,West,Urban,8,Yes
828,North,Rural,2,No
829,South,Urban,1,Yes
830,North,Rural,5,No
831,South,Urban,2,Yes
832,West,Urban,3,No
833,South,Urban,3,Yes
834,North,Urban,3,Yes
835,North,Rural,5,Yes
836,West,Rural,2,No
837,South,Urban,6,No
838,West,Rural,6,Yes
839,East,Urban,4,No
840,North,Urban,6,Yes
841,South,Rural,2,No
842,North,Rural,5,Yes
843,West,Urban,3,Yes
844,West,Urban,3,Yes
845,South,Urban,4,No
846,West,Urban,5,Yes
847,East,Urban,4,No
848,South,Rural,6,Yes
849,South,Rural,9,Yes
850,East,Rural,5,No
851,North,Urban,3,No
852,South,Rural,6,Yes
853,West,Rural,5,Yes
854,East,Rural,3,Yes
855,East,Urban,3,No
856,North,Rural,2,Yes
857,East,Rural,2,Yes
858,North,Urban,6,Yes
859,North,Rural,6,No
860,East,Urban,5,No
861,North,Urban,3,No
862,North,Rural,7,Yes
863,East,Rural,12,No
864,West,Rural,1,Yes
865,North,Urban,5,Yes
866,North,Urban,7,Yes
867,North,Urban,5,No
868,West,Urban,3,No
869,West,Rural,5,Yes
870,West,Rural,4,Yes
871,South,Urban,9,Yes
872,South,Rural,6,No
873,South,Rural,6,Yes
874,West,Rural,1,Yes
875,South,Urban,4,No
876,East,Urban,5,Yes
877,East,Rural,2,Yes
878,South,Rural,3,No
879,West,Rural,3,No
880,North,Urban,4,Yes
881,West,Rural,3,Yes
882,East,Urban,5,Yes
883,North,Urban,8,Yes
884,East,Urban,5,Yes
885,East,Rural,4,No
886,East,Urban,4,Yes
887,North,Urban,3,No
888,West,Rural,2,No
889,South,Urban,7,Yes
890,East,Urban,9,Yes
891,East,Rural,8,No
892,West,Urban,4,Yes
893,West,Rural,3,Yes
894,North,Rural,4,Yes
895,North,Rural,4,No
896,North,Rural,5,No
897,West,Urban,6,Yes
898,East,Urban,2,Yes
899,East,Rural,5,Yes
900,West,Rural,2,Yes
901,West,Urban,6,No
902,West,Urban,9,Yes
903,North,Urban,9,No
904,North,Rural,8,No
905,West,Urban,5,No
906,South,Urban,4,Yes
907,West,Urban,4,No
908,East,Rural,9,Yes
909,East,Rural,6,No
910,South,Urban,4,Yes
911,West,Urban,5,Yes
912,North,Rural,6,No
913,East,Urban,6,No
914,North,Rural,5,Yes
915,West,Urban,4,No
916,West,Urban,4,No
917,North,Urban,6,Yes
918,East,Urban,6,No
919,South,Urban,2,No
920,East,Urban,5,No
921,East,Rural,5,No
922,West,Urban,3,Yes
923,East,Urban,4,No
924,South,Rural,3,Yes
925,North,Urban,2,Yes
926,East,Rural,7,Yes
927,West,Urban,4,No
928,West,Urban,2,No
929,East,Urban,6,Yes
930,South,Urban,7,No
931,South,Rural,5,No
932,West,Rural,5,No
933,West,Rural,6,Yes
934,West,Rural,8,Yes
935,South,Urban,7,Yes
936,West,Rural,5,Yes
937,East,Urban,7,No
938,East,Rural,3,Yes
939,South,Rural,4,Yes
940,North,Rural,4,Yes
941,West,Rural,2,Yes
942,West,Urban,0,Yes
943,North,Rural,4,Yes
944,North,Rural,3,Yes
945,South,Rural,8,Yes
946,North,Urban,5,Yes
947,South,Rural,5,No
948,South,Urban,5,Yes
949,East,Rural,2,Yes
950,East,Rural,6,Yes
951,East,Rural,6,Yes
952,West,Urban,3,Yes
953,East,Urban,5,No
954,South,Rural,6,Yes
955,South,Rural,4,Yes
956,South,Urban,6,Yes
957,East,Rural,5,Yes
958,East,Urban,4,Yes
959,East,Rural,8,No
960,North,Rural,2,Yes
961,East,Urban,8,Yes
962,North,Rural,7,Yes
963,East,Urban,4,Yes
964,South,Rural,4,Yes
965,West,Urban,5,Yes
966,West,Rural,5,Yes
967,North,Urban,2,No
968,North,Rural,4,Yes
969,North,Rural,3,Yes
970,East,Rural,2,Yes
971,West,Urban,10,No
972,North,Rural,4,Yes
973,South,Rural,9,Yes
974,West,Rural,7,Yes
975,North,Rural,4,Yes
976,East,Rural,7,No
977,West,Urban,3,No
978,East,Rural,7,No
979,West,Urban,2,No
980,East,Rural,3,No
981,West,Urban,10,Yes
982,South,Rural,2,No
983,West,Rural,5,Yes
984,East,Rural,6,Yes
985,South,Rural,4,No
986,North,Urban,5,Yes
987,East,Urban,7,No
988,West,Rural,5,No
989,South,Rural,3,Yes
990,South,Urban,4,Yes
991,North,Urban,7,Yes
992,South,Rural,2,Yes
993,North,Urban,8,Yes
994,South,Rural,6,No
995,East,Urban,4,Yes
996,East,Rural,3,Yes
997,South,Urban,8,Yes
998,South,Rural,3,Yes
999,West,Rural,6,No
1000,West,Urban,1,No
1001,North,Rural,3,No
1002,West,Urban,11,No
1003,South,Rural,6,Yes
1004,East,Urban,6,No
1005,South,Rural,3,Yes
1006,East,Urban,2,No
1007,North,Urban,4,Yes
1008,West,Rural,5,Yes
1009,South,Urban,7,No
1010,East,Urban,4,No
1011,North,Urban,4,Yes
1012,West,Urban,9,No
1013,South,Urban,5,No
1014,East,Rural,10,No
1015,South,Rural,7,Yes
1016,North,Rural,10,Yes
1017,East,Urban,2,Yes
1018,East,Rural,4,No
1019,West,Urban,9,No
1020,West,Rural,6,No
1021,East,Rural,10,Yes
1022,North,Urban,10,No
1023,West,Rural,6,Yes
1024,East,Rural,4,Yes
1025,South,Urban,6,Yes
1026,South,Urban,3,No
1027,South,Urban,4,Yes
1028,East,Urban,7,No
1029,North,Rural,6,Yes
1030,North,Urban,7,Yes
1031,South,Urban,4,No
1032,South,Rural,6,Yes
1033,West,Rural,5,No
1034,East,Rural,3,No
1035,South,Urban,3,No
1036,South,Rural,8,No
1037,North,Rural,7,Yes
1038,East,Rural,1,No
1039,North,Rural,6,Yes
1040,East,Urban,8,No
1041,East,Rural,8,Yes
1042,East,Rural,2,Yes
1043,East,Rural,10,No
1044,South,Rural,8,Yes
1045,South,Rural,3,Yes
1046,West,Urban,8,No
1047,West,Rural,7,No
1048,West,Urban,4,Yes
1049,North,Rural,2,Yes
1050,North,Urban,7,No
1051,West,Urban,4,Yes
1052,West,Rural,3,No
1053,West,Urban,7,No
1054,East,Rural,11,Yes
1055,South,Rural,3,Yes
1056,North,Urban,2,Yes
1057,South,Rural,6,Yes
1058,South,Urban,7,Yes
