resident,area,year,gender,hyder,friends,read,write,speak,listen
Current,South,1981,Female,5.13,18,76,72,56,35
Former,North,1982,Male,5.14,18,75,76,59,41
Current,South,1982,Male,5.14,23,80,70,56,30
Current,Missing,1980,Female,5.14,16,77,68,57,32
Current,South,1981,Female,5.15,21,76,76,56,33
Former,South,1980,Female,5.16,24,76,73,56,30
Current,Unknown,1980,Female,5.16,21,76,72,54,36
Current,South,1981,Male,5.17,1,77,72,55,33
Current,South,1981,Female,5.18,29,78,73,58,40
Former,North,1982,Female,5.25,10,77,73,56,36
Current,South,1980,Female,5.27,14,75,72,56,30
Current,South,1982,Male,5.27,16,77,73,57,38
Current,North,1982,Female,5.28,5,77,75,58,40
Current,South,1981,Female,5.28,0,74,71,55,37
Current,North,1981,Female,5.30,15,78,71,58,43
Current,South,1981,Male,5.30,12,79,73,59,42
Current,South,1981,Male,5.30,6,76,73,55,25
Former,North,1981,Female,5.34,12,77,72,58,37
Current,South,1982,Female,5.34,23,74,73,56,27
Current,North,1981,Male,5.35,9,77,72,60,35
Current,South,1981,Female,5.37,2,76,71,55,37
Current,South,1983,Female,5.38,3,77,75,60,37
Current,South,1980,Female,5.38,16,78,72,60,31
Current,North,1982,Male,5.38,7,76,75,60,39
Current,South,1981,Female,5.39,12,77,73,57,34
Current,North,1983,Male,5.39,8,77,76,58,32
Current,North,1984,Female,5.40,17,78,77,61,31
Current,South,1979,Female,5.40,27,77,69,59,35
Current,South,1983,Female,5.41,19,78,71,59,38
Current,South,1981,Female,5.41,29,75,72,55,36
Current,South,1979,Female,5.41,29,77,69,56,44
Current,South,1980,Female,5.42,10,76,72,56,43
Current,South,1982,Female,5.43,9,73,75,57,34
Former,North,1980,Male,5.44,12,78,73,58,39
Current,South,1979,Male,5.44,24,80,71,58,35
Current,North,1981,Male,5.45,30,77,71,57,36
Current,South,1981,Male,5.45,30,74,75,55,31
Current,South,1980,Female,5.45,10,78,70,59,42
Current,South,1984,Female,5.45,8,75,76,56,38
Current,North,1981,Female,5.46,21,77,75,59,32
Current,South,1982,Male,5.47,6,76,71,56,34
Current,North,1981,Female,5.48,23,74,71,57,42
Current,South,1981,Female,5.48,14,78,74,58,36
Current,North,1982,Female,5.49,25,82,72,59,41
Current,South,1980,Male,5.51,24,77,71,55,38
Current,North,1982,Female,5.52,30,77,75,59,36
Current,South,1981,Male,5.53,23,75,73,57,33
Current,South,1978,Female,5.53,5,76,67,57,39
Current,South,1982,Female,5.54,16,75,75,57,44
Current,North,1982,Female,5.55,26,76,73,57,37
Current,North,1981,Male,5.55,31,80,74,58,31
Current,North,1981,Female,5.56,5,77,71,58,31
Current,South,1982,Male,5.57,11,77,72,57,40
Current,South,1981,Female,5.57,31,79,72,58,37
Current,North,1981,Male,5.57,5,75,74,56,26
Current,North,1980,Male,5.58,1,76,70,59,46
Current,North,1982,Female,5.58,26,79,74,59,51
Current,South,1982,Male,5.62,15,77,71,57,34
Current,North,1981,Female,5.62,7,79,74,59,37
Current,North,1982,Male,5.62,31,80,72,58,38
Current,South,1980,Male,5.63,20,73,68,56,26
Current,North,1982,Female,5.64,9,80,73,60,47
Current,North,1983,Male,5.65,16,73,74,58,35
Current,South,1978,Female,5.66,7,78,69,54,20
Current,North,1982,Female,5.67,11,80,74,61,49
Current,North,1982,Male,5.68,14,79,75,58,38
Current,North,1980,Male,5.69,18,73,73,56,31
Current,North,1981,Female,5.71,23,78,76,60,33
Current,South,1982,Female,5.71,30,77,73,57,29
Current,South,1980,Male,5.72,1,79,74,57,35
Current,South,1983,Female,5.73,14,78,78,58,44
Current,North,1983,Female,5.74,20,77,75,60,38
Current,North,1982,Male,5.75,14,79,75,60,51
Current,North,1981,Female,5.75,16,77,73,57,37
Current,South,1980,Female,5.76,7,76,68,57,25
Current,South,1980,Female,5.78,22,75,70,56,22
Former,North,1982,Female,5.80,15,76,75,57,36
Current,North,1980,Female,5.80,6,80,70,57,35
Current,North,1981,Female,5.82,14,79,75,58,34
Current,North,0,Female,5.83,4,77,69,57,29
Former,North,1982,Male,5.83,27,80,72,60,33
Former,North,1982,Female,5.83,28,76,73,56,46
Current,South,1982,Male,5.84,11,79,74,57,44
Current,South,1980,Male,5.84,32,76,72,55,36
Current,Missing,1981,Female,5.85,9,76,72,57,35
Current,South,1982,Male,5.86,17,74,74,56,31
Current,South,1981,Female,5.86,0,78,74,59,37
Current,North,1982,Female,5.87,13,77,73,58,42
Former,South,1981,Female,5.87,10,74,74,58,40
Current,South,1981,Female,5.87,10,78,73,56,43
Current,North,1980,Male,5.90,22,78,75,58,33
Current,South,1980,Male,5.92,5,78,72,57,36
Current,North,1981,Female,5.93,9,80,72,57,29
Current,North,1982,Female,5.94,7,81,73,61,40
Current,South,1981,Male,5.94,8,79,71,58,37
Current,South,1980,Male,5.95,30,75,72,58,33
Current,North,1979,Female,5.96,0,79,70,58,32
Current,North,1981,Female,5.96,23,79,74,57,31
Former,North,1982,Female,5.97,9,77,71,58,31
Former,North,1981,Female,5.98,23,76,70,57,38
Former,North,1982,Male,5.99,6,80,77,60,36
Current,North,1981,Female,6.01,32,82,72,57,40
Current,South,1979,Male,6.01,2,75,71,52,31
Current,North,0,Female,6.02,2,82,69,61,40
Former,South,0,Male,6.02,1,75,70,56,41
Current,North,1984,Female,6.03,18,77,79,58,40
Current,North,1983,Female,6.03,18,78,73,57,36
Current,North,1981,Female,6.05,4,79,75,59,43
Current,North,1982,Male,6.08,27,81,73,58,40
Current,North,1981,Female,6.09,11,78,74,57,36
Current,South,1981,Male,6.11,3,75,72,55,38
Current,North,1979,Female,6.12,15,80,70,59,37
Current,South,1982,Female,6.14,25,77,76,58,34
Current,South,1983,Female,6.14,5,75,76,58,35
Current,North,1981,Male,6.15,9,76,68,56,43
Current,North,1982,Male,6.15,6,80,74,58,44
Current,North,1981,Male,6.17,27,84,73,62,35
Current,South,1981,Female,6.18,1,74,73,56,37
Current,South,1980,Female,6.18,20,74,70,55,27
Current,North,1981,Female,6.19,32,77,73,57,39
Former,North,1980,Female,6.22,4,78,73,58,26
Current,North,1984,Female,6.24,9,76,74,58,39
Current,North,1981,Male,6.25,1,81,74,58,32
Current,North,1981,Androgyne,6.25,3,78,72,60,35
Current,North,1981,Male,6.27,23,79,69,58,37
Former,North,1982,Female,6.29,6,76,73,53,41
Current,South,1980,Male,6.30,19,78,74,57,35
Former,North,1982,Male,6.30,28,77,76,58,42
Current,South,1980,Female,6.30,25,79,70,56,43
Current,North,1981,Male,6.31,13,76,72,59,40
Current,North,0,Female,6.32,9,77,72,59,29
Current,North,1981,Male,6.34,22,81,72,61,34
Current,North,1983,Female,6.36,22,80,78,60,29
Current,North,1981,Female,6.36,28,78,74,59,32
Current,North,1983,Female,6.38,9,78,72,59,33
Current,North,1980,Female,6.39,6,76,72,55,25
Current,North,1981,Female,6.39,20,79,73,59,32
Current,South,1981,Female,6.40,6,78,73,59,32
Current,North,1981,Female,6.41,16,77,77,56,39
Current,North,1981,Male,6.42,20,77,70,55,36
Current,South,1981,Female,6.45,9,78,74,56,34
Former,North,1982,Female,6.46,4,77,74,57,33
Current,North,1981,Female,6.46,7,77,73,57,38
Current,North,1982,Male,6.47,3,74,76,57,42
Current,North,1980,Male,6.48,10,76,74,56,37
Current,North,1980,Male,6.52,27,79,70,57,29
Current,North,1982,Female,6.54,0,79,75,58,32
Current,North,1981,Female,6.57,3,77,77,58,37
Current,North,1981,Female,6.58,27,78,73,58,39
Former,North,1980,Androgyne,6.58,2,75,73,56,42
Current,North,1980,Female,6.61,10,78,72,57,43
Current,North,1981,Male,6.63,25,73,77,55,40
Former,North,1984,Male,6.63,6,81,75,59,32
Former,North,1981,Female,6.63,19,77,73,57,33
Current,North,1982,Female,6.65,8,82,74,61,36
Current,North,1981,Female,6.67,24,77,74,59,36
Current,North,1981,Female,6.67,25,76,71,56,38
Current,North,1981,Female,6.67,25,80,74,61,36
Current,South,1980,Male,6.82,24,76,73,58,35
Current,North,1980,Female,6.84,28,77,76,56,37
Current,North,1980,Male,6.84,24,76,70,56,34
Current,North,1980,Female,6.85,16,76,73,56,35
Current,Missing,1981,Male,6.85,16,81,74,59,28
Current,North,1981,Male,6.85,3,79,73,59,41
Current,South,1982,Male,6.87,12,79,75,54,36
Current,North,1982,Male,6.90,14,80,73,62,40
Current,North,1982,Male,6.90,15,77,75,57,31
Current,North,1980,Female,6.90,27,76,72,57,43
Current,North,1981,Male,6.98,9,79,76,59,31
Current,South,1980,Female,6.99,12,74,74,56,30
Current,North,1983,Male,7.02,3,80,77,60,41
Current,North,1981,Female,7.02,10,80,75,58,45
Current,North,1981,Female,7.03,1,78,75,54,31
Current,North,1980,Male,7.06,7,74,74,56,31
Current,South,1980,Female,7.07,29,75,72,55,32
Current,North,1981,Male,7.09,2,78,72,57,34
Current,North,1980,Female,7.15,27,80,71,59,26
Current,South,1979,Female,7.16,25,79,73,56,38
Current,North,1981,Female,7.16,28,79,74,58,35
Current,North,1982,Female,7.17,1,78,74,59,39
Current,South,1981,Female,7.17,8,76,71,56,33
Current,North,1980,Male,7.21,21,78,70,57,27
Current,North,1981,Male,7.22,24,83,74,58,33
Current,North,0,Male,7.22,17,77,75,58,37
Current,North,1981,Female,7.23,9,75,73,59,43
Current,North,1981,Male,7.32,10,79,74,59,40
Current,North,1982,Female,7.34,25,79,74,62,38
Current,North,1980,Female,7.47,18,76,71,57,37
Current,North,1981,Male,7.55,18,76,75,56,36
Current,North,1981,Male,7.60,10,77,75,57,41
Current,North,1982,Female,7.63,15,77,75,58,50
Current,North,1981,Female,7.67,9,82,76,60,42
Former,North,1982,Female,7.71,28,78,75,59,42
Current,North,1979,Female,7.79,26,79,73,57,37
Current,North,1981,Androgyne,8.24,33,78,76,58,39
Former,North,1981,Male,8.75,5,78,79,57,47
