student_id,gender,age_group,meal_time,frequency_of_visit,favorite_meal
172,Female,36-45,Lunch,Occasionally,Burger
173,Female,18-25,Lunch,Weekly,Burger
174,Female,26-35,Dinner,Daily,Pizza
175,Male,26-35,Lunch,Occasionally,Pizza
176,Male,26-35,Dinner,Weekly,Burger
177,Male,26-35,Lunch,Daily,Salad
178,Female,18-25,Dinner,Daily,Pizza
179,Female,18-25,Dinner,Weekly,Salad
180,Female,26-35,Dinner,Weekly,Pizza
181,Female,26-35,Lunch,Daily,Burger
182,Male,18-25,Lunch,Daily,Salad
183,Male,36-45,Dinner,Occasionally,Salad
184,Male,18-25,Dinner,Occasionally,Burger
185,Male,36-45,Dinner,Daily,Salad
186,Female,36-45,Dinner,Weekly,Salad
187,Female,26-35,Lunch,Occasionally,Pizza
188,Male,36-45,Dinner,Weekly,Salad
189,Male,36-45,Dinner,Occasionally,Salad
190,Female,36-45,Dinner,Daily,Burger
191,Female,18-25,Dinner,Weekly,Salad
192,Male,36-45,Dinner,Occasionally,Pizza
193,Male,18-25,Dinner,Occasionally,Burger
194,Female,36-45,Dinner,Weekly,Salad
195,Female,18-25,Dinner,Occasionally,Burger
196,Male,18-25,Lunch,Weekly,Burger
197,Male,26-35,Dinner,Occasionally,Salad
198,Female,26-35,Dinner,Weekly,Pizza
199,Male,18-25,Dinner,Daily,Burger
200,Female,18-25,Lunch,Daily,Burger
201,Female,18-25,Dinner,Occasionally,Pizza
202,Female,36-45,Dinner,Occasionally,Burger
203,Female,18-25,Lunch,Weekly,Pizza
204,Male,18-25,Lunch,Weekly,Salad
205,Female,26-35,Lunch,Weekly,Burger
206,Female,18-25,Lunch,Weekly,Pizza
207,Female,18-25,Dinner,Weekly,Burger
208,Male,36-45,Dinner,Daily,Salad
209,Female,26-35,Dinner,Daily,Burger
210,Female,36-45,Lunch,Occasionally,Pizza
211,Female,26-35,Lunch,Occasionally,Salad
212,Male,36-45,Dinner,Weekly,Burger
213,Male,18-25,Lunch,Weekly,Salad
214,Female,26-35,Dinner,Occasionally,Salad
215,Female,26-35,Dinner,Daily,Burger
216,Female,26-35,Dinner,Occasionally,Pizza
217,Female,26-35,Dinner,Weekly,Burger
218,Male,26-35,Lunch,Daily,Burger
219,Female,18-25,Lunch,Occasionally,Salad
220,Male,36-45,Dinner,Weekly,Salad
221,Female,26-35,Lunch,Weekly,Burger
222,Male,36-45,Lunch,Occasionally,Salad
223,Male,26-35,Dinner,Daily,Salad
224,Male,18-25,Lunch,Occasionally,Pizza
225,Female,36-45,Lunch,Daily,Pizza
226,Female,26-35,Dinner,Weekly,Pizza
227,Male,36-45,Lunch,Daily,Burger
228,Male,26-35,Dinner,Daily,Salad
229,Female,36-45,Lunch,Daily,Burger
230,Male,36-45,Dinner,Daily,Pizza
231,Male,26-35,Dinner,Daily,Salad
232,Female,26-35,Lunch,Weekly,Burger
233,Female,26-35,Lunch,Occasionally,Salad
234,Male,36-45,Dinner,Weekly,Burger
235,Female,18-25,Lunch,Weekly,Salad
236,Female,18-25,Lunch,Weekly,Salad
237,Female,18-25,Lunch,Daily,Pizza
238,Female,36-45,Lunch,Daily,Burger
239,Female,18-25,Dinner,Occasionally,Pizza
240,Male,26-35,Lunch,Weekly,Salad
241,Male,36-45,Dinner,Occasionally,Salad
242,Female,18-25,Lunch,Occasionally,Pizza
243,Male,26-35,Lunch,Weekly,Burger
244,Female,26-35,Lunch,Daily,Salad
245,Male,36-45,Lunch,Daily,Pizza
246,Male,26-35,Lunch,Weekly,Burger
247,Male,26-35,Dinner,Weekly,Burger
248,Female,36-45,Lunch,Occasionally,Pizza
249,Female,26-35,Dinner,Daily,Salad
250,Female,18-25,Dinner,Weekly,Burger
251,Male,36-45,Lunch,Daily,Pizza
252,Female,18-25,Dinner,Weekly,Pizza
253,Female,36-45,Dinner,Occasionally,Salad
254,Male,36-45,Dinner,Daily,Salad
255,Male,26-35,Dinner,Occasionally,Pizza
256,Male,36-45,Dinner,Weekly,Salad
257,Male,36-45,Dinner,Weekly,Salad
258,Male,26-35,Lunch,Occasionally,Salad
259,Female,36-45,Lunch,Daily,Pizza
260,Male,18-25,Dinner,Weekly,Burger
261,Female,26-35,Dinner,Daily,Burger
262,Female,26-35,Dinner,Weekly,Burger
263,Female,18-25,Dinner,Weekly,Salad
264,Male,18-25,Dinner,Occasionally,Salad
265,Female,36-45,Lunch,Weekly,Salad
266,Male,36-45,Lunch,Occasionally,Pizza
267,Female,36-45,Lunch,Occasionally,Burger
268,Male,26-35,Dinner,Weekly,Salad
269,Male,36-45,Lunch,Occasionally,Pizza
270,Male,36-45,Dinner,Daily,Burger
271,Male,26-35,Lunch,Daily,Salad
272,Male,36-45,Dinner,Weekly,Salad
273,Male,18-25,Dinner,Weekly,Pizza
274,Female,36-45,Lunch,Occasionally,Burger
275,Male,36-45,Dinner,Occasionally,Salad
276,Female,36-45,Dinner,Occasionally,Burger
277,Male,26-35,Dinner,Weekly,Pizza
278,Male,26-35,Lunch,Weekly,Salad
279,Male,18-25,Dinner,Daily,Salad
280,Male,18-25,Dinner,Weekly,Pizza
281,Female,36-45,Lunch,Weekly,Salad
282,Female,26-35,Lunch,Daily,Burger
283,Male,36-45,Dinner,Weekly,Pizza
284,Male,36-45,Dinner,Weekly,Burger
285,Male,18-25,Lunch,Occasionally,Salad
286,Female,26-35,Lunch,Daily,Burger
287,Female,36-45,Dinner,Daily,Salad
288,Female,18-25,Lunch,Daily,Pizza
289,Male,36-45,Dinner,Weekly,Pizza
290,Female,26-35,Lunch,Occasionally,Burger
291,Male,26-35,Lunch,Weekly,Salad
292,Male,36-45,Lunch,Weekly,Salad
293,Male,18-25,Lunch,Weekly,Pizza
294,Male,18-25,Lunch,Daily,Pizza
295,Male,36-45,Lunch,Weekly,Salad
296,Female,36-45,Dinner,Daily,Salad
297,Female,26-35,Dinner,Occasionally,Salad
298,Female,36-45,Dinner,Occasionally,Pizza
299,Male,36-45,Lunch,Weekly,Salad
300,Male,36-45,Dinner,Daily,Pizza
301,Female,18-25,Lunch,Occasionally,Burger
302,Female,18-25,Lunch,Weekly,Burger
303,Male,36-45,Lunch,Weekly,Burger
304,Female,18-25,Lunch,Occasionally,Burger
305,Male,18-25,Dinner,Daily,Pizza
306,Male,36-45,Lunch,Weekly,Pizza
307,Female,26-35,Lunch,Weekly,Burger
308,Male,26-35,Dinner,Daily,Burger
309,Male,18-25,Lunch,Occasionally,Burger
310,Male,26-35,Lunch,Occasionally,Burger
311,Female,36-45,Lunch,Daily,Burger
312,Male,18-25,Dinner,Occasionally,Salad
313,Female,18-25,Dinner,Daily,Burger
314,Male,18-25,Dinner,Occasionally,Salad
315,Female,18-25,Dinner,Occasionally,Salad
316,Female,18-25,Dinner,Occasionally,Burger
317,Female,18-25,Dinner,Weekly,Salad
318,Female,26-35,Lunch,Weekly,Pizza
319,Male,26-35,Dinner,Daily,Pizza
320,Male,26-35,Dinner,Occasionally,Pizza
321,Male,36-45,Lunch,Weekly,Pizza
322,Female,26-35,Lunch,Occasionally,Pizza
323,Male,26-35,Lunch,Occasionally,Pizza
324,Male,26-35,Dinner,Occasionally,Burger
325,Female,18-25,Lunch,Occasionally,Salad
326,Male,26-35,Dinner,Weekly,Pizza
327,Male,36-45,Lunch,Weekly,Pizza
328,Female,18-25,Lunch,Weekly,Burger
329,Male,36-45,Dinner,Daily,Pizza
330,Female,36-45,Lunch,Weekly,Burger
331,Female,36-45,Lunch,Daily,Salad
332,Female,18-25,Dinner,Weekly,Pizza
333,Male,36-45,Dinner,Occasionally,Salad
334,Male,26-35,Lunch,Weekly,Salad
335,Male,18-25,Dinner,Daily,Pizza
336,Male,36-45,Lunch,Daily,Salad
337,Female,26-35,Lunch,Occasionally,Salad
338,Male,26-35,Lunch,Daily,Burger
339,Male,36-45,Lunch,Daily,Salad
340,Male,36-45,Lunch,Weekly,Pizza
341,Male,36-45,Dinner,Occasionally,Pizza
342,Female,18-25,Dinner,Occasionally,Burger
343,Female,18-25,Dinner,Occasionally,Burger
344,Male,36-45,Lunch,Daily,Pizza
345,Female,36-45,Dinner,Weekly,Pizza
346,Male,18-25,Dinner,Weekly,Burger
347,Male,36-45,Lunch,Daily,Salad
348,Male,26-35,Lunch,Weekly,Pizza
349,Female,36-45,Lunch,Daily,Salad
350,Male,36-45,Lunch,Occasionally,Burger
351,Male,18-25,Lunch,Occasionally,Salad
352,Male,18-25,Dinner,Daily,Burger
353,Female,18-25,Dinner,Occasionally,Burger
354,Male,18-25,Lunch,Occasionally,Salad
355,Male,26-35,Dinner,Weekly,Salad
356,Female,26-35,Lunch,Weekly,Burger
357,Male,36-45,Lunch,Weekly,Salad
358,Male,36-45,Dinner,Daily,Salad
359,Male,26-35,Lunch,Weekly,Salad
360,Female,18-25,Lunch,Weekly,Pizza
361,Female,18-25,Lunch,Weekly,Pizza
362,Male,36-45,Dinner,Occasionally,Burger
363,Male,26-35,Dinner,Daily,Burger
364,Male,18-25,Dinner,Occasionally,Salad
365,Female,18-25,Dinner,Weekly,Pizza
366,Male,26-35,Dinner,Weekly,Salad
367,Female,36-45,Dinner,Weekly,Burger
368,Male,18-25,Lunch,Weekly,Pizza
369,Female,26-35,Dinner,Weekly,Pizza
370,Male,18-25,Dinner,Daily,Salad
371,Male,26-35,Lunch,Occasionally,Pizza
372,Male,36-45,Lunch,Daily,Burger
373,Female,26-35,Lunch,Daily,Salad
374,Female,18-25,Dinner,Weekly,Salad
375,Male,36-45,Lunch,Weekly,Salad
376,Male,36-45,Lunch,Occasionally,Pizza
377,Female,18-25,Lunch,Occasionally,Salad
378,Male,26-35,Lunch,Occasionally,Salad
379,Male,18-25,Dinner,Occasionally,Salad
380,Female,18-25,Lunch,Occasionally,Salad
381,Male,18-25,Dinner,Weekly,Salad
382,Female,36-45,Lunch,Daily,Salad
383,Female,36-45,Dinner,Occasionally,Salad
384,Female,26-35,Lunch,Weekly,Pizza
385,Female,26-35,Dinner,Occasionally,Pizza
386,Female,26-35,Dinner,Daily,Salad
387,Female,36-45,Lunch,Weekly,Pizza
388,Female,26-35,Dinner,Weekly,Salad
389,Female,18-25,Lunch,Occasionally,Burger
390,Male,18-25,Dinner,Occasionally,Pizza
391,Female,18-25,Dinner,Daily,Burger
392,Male,18-25,Lunch,Occasionally,Salad
393,Male,36-45,Lunch,Daily,Salad
394,Male,26-35,Dinner,Weekly,Salad
395,Male,26-35,Lunch,Occasionally,Pizza
396,Male,18-25,Lunch,Daily,Salad
397,Male,36-45,Dinner,Weekly,Salad
398,Male,18-25,Lunch,Weekly,Salad
399,Female,36-45,Lunch,Daily,Pizza
400,Female,26-35,Lunch,Daily,Salad
401,Male,26-35,Dinner,Daily,Pizza
402,Male,26-35,Dinner,Occasionally,Burger
403,Male,36-45,Lunch,Daily,Salad
404,Male,18-25,Lunch,Daily,Salad
405,Male,18-25,Dinner,Daily,Burger
406,Male,18-25,Dinner,Occasionally,Burger
407,Female,26-35,Lunch,Weekly,Salad
408,Male,18-25,Lunch,Weekly,Salad
409,Female,26-35,Lunch,Weekly,Salad
410,Male,26-35,Dinner,Occasionally,Salad
411,Female,26-35,Dinner,Occasionally,Salad
412,Female,36-45,Dinner,Weekly,Salad
413,Female,18-25,Dinner,Occasionally,Salad
414,Female,26-35,Dinner,Daily,Pizza
415,Female,36-45,Lunch,Occasionally,Pizza
416,Male,18-25,Lunch,Daily,Pizza
417,Female,36-45,Lunch,Occasionally,Pizza
418,Male,18-25,Lunch,Occasionally,Salad
419,Male,36-45,Lunch,Weekly,Salad
420,Male,26-35,Dinner,Weekly,Pizza
421,Male,18-25,Lunch,Weekly,Pizza
422,Male,26-35,Dinner,Daily,Salad
423,Male,26-35,Lunch,Daily,Salad
424,Male,18-25,Dinner,Occasionally,Salad
425,Male,26-35,Dinner,Daily,Burger
426,Male,18-25,Lunch,Occasionally,Pizza
427,Female,26-35,Dinner,Weekly,Salad
428,Female,36-45,Lunch,Weekly,Salad
429,Male,26-35,Lunch,Daily,Salad
430,Male,36-45,Lunch,Weekly,Salad
431,Male,36-45,Lunch,Occasionally,Salad
432,Female,26-35,Dinner,Occasionally,Burger
433,Female,26-35,Lunch,Daily,Pizza
434,Male,26-35,Dinner,Weekly,Salad
435,Female,18-25,Lunch,Daily,Pizza
436,Male,36-45,Lunch,Daily,Burger
437,Female,18-25,Dinner,Daily,Pizza
438,Male,36-45,Dinner,Weekly,Salad
439,Female,26-35,Lunch,Weekly,Pizza
440,Male,26-35,Dinner,Occasionally,Burger
441,Male,26-35,Lunch,Daily,Salad
442,Male,26-35,Lunch,Weekly,Burger
443,Female,36-45,Lunch,Occasionally,Burger
444,Female,26-35,Dinner,Occasionally,Pizza
445,Male,36-45,Lunch,Occasionally,Burger
446,Female,36-45,Dinner,Occasionally,Burger
447,Female,36-45,Dinner,Weekly,Salad
448,Female,18-25,Dinner,Weekly,Salad
449,Female,18-25,Dinner,Weekly,Salad
450,Female,26-35,Dinner,Occasionally,Pizza
451,Female,26-35,Dinner,Occasionally,Burger
452,Male,18-25,Lunch,Daily,Pizza
453,Female,18-25,Lunch,Occasionally,Salad
454,Female,36-45,Dinner,Occasionally,Salad
455,Female,36-45,Lunch,Daily,Pizza
456,Male,18-25,Lunch,Weekly,Burger
457,Female,26-35,Lunch,Daily,Salad
458,Female,18-25,Lunch,Occasionally,Burger
459,Male,18-25,Dinner,Occasionally,Salad
460,Female,26-35,Lunch,Weekly,Burger
461,Female,26-35,Dinner,Daily,Burger
462,Male,26-35,Lunch,Occasionally,Salad
463,Female,18-25,Dinner,Occasionally,Salad
464,Male,26-35,Lunch,Occasionally,Burger
465,Male,26-35,Dinner,Daily,Salad
466,Female,18-25,Lunch,Weekly,Burger
467,Female,36-45,Dinner,Weekly,Pizza
468,Male,26-35,Dinner,Weekly,Burger
469,Female,18-25,Dinner,Daily,Salad
470,Male,26-35,Dinner,Occasionally,Pizza
471,Male,36-45,Lunch,Daily,Burger
472,Male,18-25,Lunch,Occasionally,Pizza
473,Female,26-35,Dinner,Weekly,Burger
474,Female,36-45,Dinner,Daily,Salad
475,Male,26-35,Dinner,Occasionally,Salad
476,Male,26-35,Lunch,Occasionally,Pizza
477,Male,36-45,Dinner,Occasionally,Burger
478,Male,18-25,Lunch,Daily,Pizza
479,Female,26-35,Lunch,Occasionally,Pizza
480,Male,18-25,Lunch,Daily,Pizza
481,Female,36-45,Lunch,Weekly,Pizza
482,Female,18-25,Lunch,Occasionally,Burger
483,Female,36-45,Dinner,Weekly,Salad
484,Female,18-25,Lunch,Daily,Burger
485,Male,18-25,Lunch,Weekly,Pizza
486,Female,26-35,Dinner,Occasionally,Burger
487,Female,36-45,Dinner,Weekly,Salad
488,Male,36-45,Lunch,Occasionally,Salad
489,Female,36-45,Lunch,Occasionally,Salad
490,Female,36-45,Dinner,Weekly,Pizza
491,Male,36-45,Dinner,Daily,Burger
492,Female,26-35,Dinner,Occasionally,Burger
493,Male,36-45,Lunch,Daily,Burger
494,Female,36-45,Dinner,Weekly,Salad
495,Female,26-35,Lunch,Weekly,Salad
496,Female,36-45,Lunch,Occasionally,Salad
497,Female,26-35,Lunch,Daily,Burger
498,Male,36-45,Lunch,Occasionally,Pizza
499,Male,36-45,Dinner,Daily,Burger
500,Male,26-35,Dinner,Occasionally,Pizza
501,Female,26-35,Lunch,Occasionally,Burger
502,Female,36-45,Lunch,Occasionally,Pizza
503,Female,18-25,Dinner,Weekly,Salad
504,Female,18-25,Dinner,Weekly,Burger
505,Male,18-25,Lunch,Occasionally,Burger
506,Male,36-45,Lunch,Occasionally,Burger
507,Male,36-45,Dinner,Daily,Burger
508,Male,36-45,Lunch,Daily,Burger
509,Female,18-25,Lunch,Weekly,Pizza
510,Male,18-25,Dinner,Occasionally,Salad
511,Female,36-45,Lunch,Occasionally,Salad
512,Male,36-45,Lunch,Weekly,Burger
513,Female,36-45,Lunch,Occasionally,Salad
514,Male,18-25,Lunch,Occasionally,Salad
515,Female,18-25,Lunch,Daily,Salad
516,Female,18-25,Dinner,Occasionally,Burger
517,Female,18-25,Lunch,Weekly,Salad
518,Male,18-25,Dinner,Weekly,Salad
519,Female,36-45,Dinner,Daily,Burger
520,Female,26-35,Dinner,Occasionally,Salad
521,Female,36-45,Lunch,Occasionally,Salad
522,Female,36-45,Dinner,Daily,Pizza
523,Male,36-45,Lunch,Occasionally,Burger
524,Female,36-45,Dinner,Weekly,Burger
525,Male,18-25,Dinner,Weekly,Salad
526,Female,26-35,Lunch,Weekly,Salad
527,Male,26-35,Lunch,Daily,Burger
528,Male,36-45,Lunch,Occasionally,Pizza
529,Male,36-45,Dinner,Daily,Pizza
530,Male,26-35,Dinner,Daily,Burger
531,Female,18-25,Lunch,Daily,Pizza
532,Female,18-25,Lunch,Daily,Pizza
533,Female,18-25,Dinner,Daily,Salad
534,Male,36-45,Dinner,Weekly,Salad
535,Male,18-25,Lunch,Occasionally,Pizza
536,Female,26-35,Lunch,Daily,Pizza
537,Female,26-35,Dinner,Weekly,Pizza
538,Female,26-35,Dinner,Weekly,Pizza
539,Female,18-25,Dinner,Daily,Burger
540,Male,26-35,Lunch,Daily,Burger
541,Male,36-45,Dinner,Occasionally,Salad
542,Male,36-45,Dinner,Daily,Salad
543,Female,18-25,Lunch,Daily,Pizza
544,Female,36-45,Lunch,Occasionally,Pizza
545,Female,36-45,Lunch,Daily,Pizza
546,Male,36-45,Lunch,Daily,Salad
547,Male,18-25,Lunch,Occasionally,Salad
548,Female,26-35,Dinner,Weekly,Salad
549,Female,26-35,Dinner,Weekly,Salad
550,Male,26-35,Lunch,Weekly,Pizza
551,Female,26-35,Lunch,Occasionally,Pizza
552,Male,18-25,Lunch,Occasionally,Burger
553,Female,26-35,Lunch,Daily,Salad
554,Female,18-25,Dinner,Occasionally,Salad
555,Female,26-35,Dinner,Weekly,Burger
556,Male,18-25,Dinner,Occasionally,Salad
557,Female,26-35,Lunch,Daily,Salad
558,Female,18-25,Dinner,Daily,Salad
559,Female,36-45,Lunch,Weekly,Burger
560,Female,26-35,Lunch,Weekly,Pizza
561,Male,18-25,Dinner,Weekly,Pizza
562,Female,18-25,Lunch,Weekly,Salad
563,Female,18-25,Lunch,Weekly,Burger
564,Male,26-35,Dinner,Weekly,Burger
565,Female,18-25,Lunch,Daily,Salad
566,Female,18-25,Lunch,Occasionally,Pizza
567,Female,36-45,Dinner,Daily,Burger
568,Female,26-35,Lunch,Occasionally,Pizza
569,Female,36-45,Dinner,Occasionally,Salad
570,Male,36-45,Lunch,Occasionally,Pizza
571,Female,36-45,Lunch,Weekly,Pizza
572,Male,26-35,Dinner,Weekly,Pizza
573,Female,18-25,Dinner,Daily,Pizza
574,Male,36-45,Lunch,Weekly,Pizza
575,Male,26-35,Dinner,Daily,Burger
576,Female,18-25,Lunch,Occasionally,Burger
577,Male,36-45,Dinner,Occasionally,Salad
578,Female,26-35,Dinner,Daily,Burger
579,Female,36-45,Lunch,Weekly,Burger
580,Male,36-45,Lunch,Weekly,Burger
581,Male,36-45,Lunch,Weekly,Salad
582,Female,36-45,Dinner,Occasionally,Burger
583,Male,26-35,Lunch,Daily,Pizza
584,Male,36-45,Lunch,Occasionally,Pizza
585,Female,36-45,Dinner,Daily,Salad
586,Male,36-45,Lunch,Weekly,Burger
587,Male,26-35,Dinner,Occasionally,Pizza
588,Female,18-25,Lunch,Occasionally,Burger
589,Female,18-25,Lunch,Daily,Pizza
590,Male,26-35,Lunch,Daily,Salad
591,Male,26-35,Dinner,Weekly,Burger
592,Female,36-45,Dinner,Weekly,Pizza
593,Male,18-25,Dinner,Daily,Burger
594,Female,18-25,Dinner,Occasionally,Pizza
595,Male,18-25,Dinner,Weekly,Salad
596,Female,18-25,Lunch,Occasionally,Pizza
597,Male,18-25,Dinner,Daily,Burger
